1	32789U	08021G	09001.82388933	.00000415	00000-0	59631-4	0	9992
2	32789	097.9702	066.9837	0015324	208.5927	151.4441	14.81576626	36816
1	32789U	08021G	09001.95896320	+.00000420	+00000-0	+60283-4	0	9991
2	32789	097.9702	067.1180	0015321	208.1665	151.8722	14.81576776	036836
1	32789U	08021G	09002.76940562	+.00000304	+00000-0	+45527-4	0	9994
2	32789	097.9700	067.9238	0015398	205.6399	154.4050	14.81577141	036959
1	32789U	08021G	09003.17462644	.00000389	00000-0	56283-4	0	9994
2	32789	097.9700	068.3271	0015379	204.4976	155.5507	14.81577819	37017
1	32789U	08021G	09003.91753219	+.00000236	+00000-0	+36819-4	0	9991
2	32789	097.9697	069.0654	0015402	202.1650	157.8899	14.81577753	037124
1	32789U	08021G	09004.18767907	.00000356	00000-0	52118-4	0	9993
2	32789	097.9696	069.3345	0015325	201.5651	158.4918	14.81578464	37164
1	32789U	08021G	09004.79551023	+.00000344	+00000-0	+50568-4	0	9994
2	32789	097.9695	069.9389	0015432	199.2611	160.8018	14.81578876	037250
1	32789U	08021G	09005.20073038	.00000493	00000-0	69491-4	0	9996
2	32789	097.9695	070.3423	0015365	198.1801	161.8864	14.81579884	37316
1	32789U	08021G	09005.87609744	+.00000513	+00000-0	+71997-4	0	9995
2	32789	097.9697	071.0144	0015468	195.6866	164.3863	14.81580657	037411
1	32789U	08021G	09006.21378030	.00000674	00000-0	92444-4	0	9993
2	32789	097.9696	071.3507	0015477	194.7049	165.3711	14.81581750	37462
1	32789U	08021G	09006.95668370	+.00000598	+00000-0	+82882-4	0	9993
2	32789	097.9695	072.0894	0015517	192.2117	167.8720	14.81582480	037572
1	32789U	08021G	09007.22683020	.00000581	00000-0	80625-4	0	9998
2	32789	097.9695	072.3582	0015544	191.2938	168.7924	14.81582735	37613
1	32789U	08021G	09007.90219696	+.00000375	+00000-0	+54497-4	0	9996
2	32789	097.9693	073.0294	0015664	189.0086	171.0841	14.81582609	037717
1	32789U	08021G	09008.84771038	.00000143	00000-0	25021-4	0	9997
2	32789	097.9694	073.9700	0015723	185.9410	174.1606	14.81582286	37850
1	32789U	08021G	09008.91524725	+.00000146	+00000-0	+25339-4	0	9999
2	32789	097.9694	074.0371	0015718	185.7317	174.3718	14.81582325	037865
1	32789U	08021G	09009.92829628	+.00000248	+00000-0	+38410-4	0	9998
2	32789	097.9692	075.0447	0015780	182.3898	177.7246	14.81583265	038019
1	32789U	08021G	09010.19844184	.00000396	00000-0	57199-4	0	9992
2	32789	097.9692	075.3138	0015707	181.7415	178.3740	14.81584114	38050
1	32789U	08021G	09010.94134361	+.00000457	+00000-0	+64926-4	0	9998
2	32789	097.9691	076.0526	0015864	179.0662	181.0583	14.81585075	038161
1	32789U	08021G	09011.21148897	.00000607	00000-0	84017-4	0	9998
2	32789	097.9690	076.3216	0015820	178.4009	181.7257	14.81586039	38200
1	32789U	08021G	09011.95438974	+.00000630	+00000-0	+86825-4	0	9992
2	32789	097.9690	077.0604	0015925	175.8470	184.2874	14.81587134	038310
1	32789U	08021G	09012.22453552	.00000599	00000-0	83003-4	0	9991
2	32789	097.9690	077.3292	0015943	174.9380	185.1991	14.81587345	38354
1	32789U	08021G	09012.69729068	+.00000462	+00000-0	+65576-4	0	9994
2	32789	097.9688	077.7990	0015913	173.5429	186.5977	14.81587389	038421
1	32789U	08021G	09013.23758243	.00000361	00000-0	52757-4	0	9997
2	32789	097.9688	078.3365	0015988	171.7149	188.4322	14.81587447	38504
1	32789U	08021G	09013.91294744	+.00000167	+00000-0	+28117-4	0	9990
2	32789	097.9686	079.0076	0016041	169.6072	190.5475	14.81587071	038608
1	32789U	08021G	09014.31816589	.00000177	00000-0	29269-4	0	9992
2	32789	097.9686	079.4109	0016034	168.3097	191.8487	14.81587273	38661
1	32789U	08021G	09014.92599380	+.00000120	+00000-0	+22047-4	0	9991
2	32789	097.9685	080.0151	0016105	166.3558	193.8090	14.81587300	038757
1	32789U	08021G	09015.80396530	.00000447	00000-0	63631-4	0	9997
2	32789	097.9683	080.8886	0016129	163.4948	196.6791	14.81589373	38880
1	32789U	08021G	09016.88454499	.00000705	00000-0	96326-4	0	9999
2	32789	097.9679	081.9634	0016088	159.8667	200.3194	14.81591858	39049
1	32789U	08021G	09016.95208099	+.00000691	+00000-0	+94611-4	0	9999
2	32789	097.9679	082.0306	0016105	159.6542	200.5314	14.81591896	039056
1	32789U	08021G	09017.89758837	.00000470	00000-0	66579-4	0	9990
2	32789	097.9678	082.9708	0016180	156.7560	203.4382	14.81592137	39192
1	32789U	08021G	09018.70802334	+.00000247	+00000-0	+38163-4	0	9993
2	32789	097.9677	083.7764	0016196	154.2359	205.9652	14.81591900	039316
1	32789U	08021G	09019.18077681	.00000280	00000-0	42423-4	0	9996
2	32789	097.9677	084.2468	0016156	152.6618	207.5447	14.81592328	39381
1	32789U	08021G	09019.92367523	+.00000140	+00000-0	+24674-4	0	9998
2	32789	097.9675	084.9852	0016172	150.3718	209.8413	14.81592160	039491
1	32789U	08021G	09020.19381927	.00000255	00000-0	39270-4	0	9998
2	32789	097.9676	085.2542	0016145	149.6539	210.5606	14.81592778	39537
1	32789U	08021G	09020.80164440	+.00000302	+00000-0	+45193-4	0	9999
2	32789	097.9675	085.8586	0016351	147.7749	212.4464	14.81593325	039623
1	32789U	08021G	09021.20686027	.00000511	00000-0	71733-4	0	9995
2	32789	097.9674	086.2619	0016173	146.3145	213.9093	14.81594614	39683
1	32789U	08021G	09021.94975661	+.00000554	+00000-0	+77198-4	0	9999
2	32789	097.9673	087.0006	0016323	144.0132	216.2183	14.81595663	039792
1	32789U	08021G	09022.21990034	.00000612	00000-0	84539-4	0	9993
2	32789	097.9673	087.2696	0016275	143.0827	217.1502	14.81596236	39832
1	32789U	08021G	09022.96279681	+.00000405	+00000-0	+58326-4	0	9998
2	32789	097.9673	088.0080	0016362	140.9546	219.2847	14.81596207	039944
1	32789U	08021G	09023.23294081	.00000398	00000-0	57384-4	0	9994
2	32789	097.9673	088.2768	0016348	140.0211	220.2204	14.81596414	39986
1	32789U	08021G	09023.70569301	+.00000261	+00000-0	+39942-4	0	9995
2	32789	097.9672	088.7465	0016369	138.5855	221.6590	14.81596217	040057
1	32789U	08021G	09024.71873292	.00000201	00000-0	32400-4	0	9990
2	32789	097.9670	089.7537	0016361	135.2810	224.9716	14.81596581	40200
1	32789U	08021G	09024.92134097	+.00000152	+00000-0	+26170-4	0	9998
2	32789	097.9670	089.9552	0016429	134.7651	225.4895	14.81596442	040234
1	32789U	08021G	09025.86684414	.00000240	00000-0	37342-4	0	9996
2	32789	097.9668	090.8954	0016507	131.8299	228.4329	14.81597258	40377
1	32789U	08021G	09026.81234561	+.00000475	+00000-0	+67120-4	0	9993
