#	#	#	#	#	#	#	#	#
1	11964U	80074A	80253.54538781	.00019945	-62811-4	99999-4	0	02
2	11964	26.5010	144.9211	7907183	179.7429	181.3675	1.57002714	01
1	11964U	80074A	80253.54538781	.00019945	-62811-4	99999-4	0	03
2	11964	26.5010	144.9211	7907183	179.7429	181.3675	1.57002714	01
1	11964U	80074A	80253.63868586	.00019720	-63132-4	99999-4	0	10
2	11964	26.5294	145.2698	7912026	179.2468	183.9679	1.56429130	04
1	11964U	80074A	80253.63868586	.00019720	-63132-4	99999-4	0	11
2	11964	26.5294	145.2698	7912026	179.2468	183.9679	1.56429130	04
1	11964U	80074A	80253.72024895	.00000120	00000-0	00000+0	0	23
2	11964	0.1513	300.0043	1592026	39.6571	14.6448	0.81524174	08
1	11964U	80074A	80255.64152394	.00000120	00000-0	00000+0	0	32
2	11964	0.2559	152.4066	1602536	187.1933	14.6861	0.81820059	13
1	11964U	80074A	80258.17448724	.00000080	00000-0	00000+0	0	66
2	11964	0.3310	346.4234	0656194	353.3790	17.7396	0.95726935	28
1	11964U	80074A	80259.22185865	.00000079	00000-0	00000+0	0	76
2	11964	0.3336	346.6845	0639985	353.2853	17.6537	0.95972469	36
1	11964U	80074A	80260.32036475	.00000244	00000-0	00000+0	0	86
2	11964	0.3089	347.8112	0290260	352.6147	18.5042	1.01398403	49
1	11964U	80074A	80261.31907131	.00000149	00000-0	00000+0	0	97
2	11964	0.3053	348.4086	0208550	352.4241	18.4146	1.02681867	56
1	11964U	80074A	80263.25714371	.00000136	00000-0	00000+0	0	102
2	11964	0.3099	349.7949	0035062	346.6356	23.4274	1.00084000	70
1	11964U	80074A	80277.23767244	.00000184	00000-0	00000+0	0	149
2	11964	0.1885	347.5904	0003167	319.6128	52.7776	1.00270526	214
1	11964U	80074A	80278.23495817	.00000185	00000-0	00000+0	0	167
2	11964	0.1881	347.5770	0003167	319.6438	52.7731	1.00272015	222
1	11964U	80074A	80281.22680462	.00000184	00000-0	00000+0	0	194
2	11964	0.1871	347.5369	0003166	319.7368	52.7177	1.00270491	250
1	11964U	80074A	80283.22139398	.00000184	00000-0	00000+0	0	205
2	11964	0.1865	347.5101	0003166	319.7988	52.6578	1.00268635	278
1	11964U	80074A	80284.21879154	.00000184	00000-0	00000+0	0	217
2	11964	0.1864	347.4967	0003166	319.8299	52.6630	1.00267934	283
