1	24876U	97035A	97204.23480831	-.00000555	79958-6	00000+0	0	9991
2	24876	039.1877	145.9515	6057595	194.4140	094.7575	04.03758847	07
1	24876U	97035A	97204.26269638	.00000403	79136-6	10000-4	0	9999
2	24876	039.0152	146.0949	6073201	194.2942	135.0689	04.03559694	09
1	24876U	97035A	97204.26269640	-.00000550	79201-6	00000+0	0	9993
2	24876	038.9579	146.0804	6068139	194.3132	135.0709	04.03372703	03
1	24876U	97035A	97204.27083333	.00000377	78902-6	10000-4	0	9996
2	24876	038.9486	146.0694	6072799	194.3156	146.8970	04.03551268	05
1	24876U	97035A	97204.51004623	.00000438	72544-6	10000-4	0	9992
2	24876	039.0087	145.9224	6072964	194.5221	134.4121	04.03549437	17
1	24876U	97035A	97205.25223643	.00000541	48656-6	10000-4	0	9991
2	24876	039.0276	145.4290	6071870	195.1556	132.5286	04.03509495	42
1	24876U	97035A	97205.74703401	.00000600	30812-6	10000-4	0	9991
2	24876	039.0860	145.1006	6070601	195.5823	131.2591	04.03503871	64
1	24876U	97035A	97205.99444214	+.00000682	+21776-6	+10000-4	0	9991
2	24876	039.0974	144.9284	6070982	195.8117	130.6499	04.03504515	000073
1	24876U	97035A	97205.99447420	.00000687	21773-6	10000-4	0	9995
2	24876	039.0877	144.9267	6071098	195.8122	130.6953	04.03503865	73
1	24876U	97035A	97206.29172454	.00000026	00000-0	00000+0	0	9996
2	24876	055.0492	152.6110	0159437	228.5036	149.3264	02.05152776	87
1	24876U	97035A	97206.37152778	+.00000025	+00000-0	+00000-0	0	9992
2	24876	054.9371	152.1183	0065564	203.8820	232.9247	02.02071315	000086
1	24876U	97035A	97206.38299498	.00000025	00000-0	00000+0	0	9993
2	24876	054.9145	152.0290	0060778	201.4967	243.6740	02.01919904	82
1	24876U	97035A	97206.76036278	.00000022	00000-0	00000+0	0	9997
2	24876	054.9232	152.0854	0065797	204.4786	155.2210	02.02082308	94
1	24876U	97035A	97207.25514944	+.00000017	+00000-0	+00000-0	0	9998
2	24876	054.9248	152.0636	0065693	204.4809	155.1856	02.02082056	000107
1	24876U	97035A	97208.24481486	+.00000005	+00000-0	+00000-0	0	9999
2	24876	054.9248	152.0230	0065708	204.5204	155.1465	02.02081824	000124
1	24876U	97035A	97209.23447229	-.00000010	+00000-0	+00000-0	0	9993
2	24876	054.9251	151.9823	0065680	204.5526	155.1111	02.02082078	000142
1	24876U	97035A	97210.22413052	-.00000025	+00000-0	+00000-0	0	9997
2	24876	054.9251	151.9422	0065683	204.5816	155.0788	02.02082131	000163
1	24876U	97035A	97211.70872936	.00000025	00000-0	10000-3	0	9994
2	24876	054.9403	151.8624	0060782	202.5437	157.2220	02.02083526	206
1	24876U	97035A	97212.20344621	-.00000043	+00000-0	+00000-0	0	9992
2	24876	054.9251	151.8627	0065551	204.6644	154.9879	02.02082196	000208
1	24876U	97035A	97213.19311042	-.00000044	+00000-0	+00000-0	0	9993
2	24876	054.9254	151.8219	0065545	204.6686	154.9889	02.02082375	000229
1	24876U	97035A	97214.18277458	-.00000040	00000-0	00000+0	0	9990
2	24876	054.9250	151.7851	0065385	204.7538	154.9035	02.02082400	249
1	24876U	97035A	97215.17243959	-.00000032	+00000-0	+00000-0	0	9991
2	24876	054.9250	151.7436	0065429	204.8032	154.8592	02.02082492	000267
1	24876U	97035A	97216.16210376	-.00000021	+00000-0	+00000-0	0	9996
2	24876	054.9266	151.6980	0065570	204.7400	154.9266	02.02082428	000282
1	24876U	97035A	97220.62464245	.00000010	00000-0	10000-3	0	9999
2	24876	054.9393	151.4912	0020042	240.4908	119.3128	02.00390787	371
1	24876U	97035A	97220.80000000	.00000010	00000-0	00000+0	0	9999
2	24876	054.9610	151.4880	0019873	243.8830	242.4690	02.00479875	376
1	24876U	97035A	97222.62067931	.00000006	00000-0	10000-3	0	9997
2	24876	054.9339	151.4364	0023085	249.8550	110.8420	02.00527895	416
1	24876U	97035A	97227.10737198	-.00000013	00000-0	10000-3	0	9993
2	24876	054.9342	151.2566	0023059	250.1669	109.6172	02.00529347	503
1	24876U	97035A	97229.10197577	-.00000009	00000-0	10000-3	0	9991
2	24876	054.9341	151.1789	0023137	250.0276	109.7285	02.00529595	543
1	24876U	97035A	97230.09930880	-.00000004	00000-0	10000-3	0	9998
2	24876	054.9340	151.1403	0023387	248.0934	111.6663	02.00529114	561
1	24876U	97035A	97231.09664060	+.00000001	+00000-0	+10000-3	0	9999
2	24876	054.9325	151.0999	0023218	249.1292	110.6357	02.00529408	000582
1	24876U	97035A	97232.09397424	+.00000004	+00000-0	+10000-3	0	9990
2	24876	054.9326	151.0600	0023223	249.1798	110.5908	02.00529432	000600
1	24876U	97035A	97233.09129847	.00000004	00000-0	10000-3	0	9993
2	24876	054.9328	151.0196	0023294	249.3669	110.4074	02.00529611	623
1	24876U	97035A	97234.08862306	-.00000001	+00000-0	+10000-3	0	9995
2	24876	054.9330	150.9794	0023331	249.6258	110.1517	02.00529753	000645
1	24876U	97035A	97235.08594103	-.00000011	+00000-0	+10000-3	0	9994
2	24876	054.9332	150.9392	0023365	249.8341	109.9414	02.00529856	000661
1	24876U	97035A	97236.08326220	-.00000025	00000-0	10000-3	0	9993
2	24876	054.9335	150.8994	0023374	249.9204	109.8533	02.00529877	686
1	24876U	97035A	97237.08057423	-.00000039	+00000-0	+10000-3	0	9995
2	24876	054.9339	150.8587	0023511	249.8886	109.8816	02.00529994	000703
1	24876U	97035A	97238.07788012	-.00000051	00000-0	10000-3	0	9994
2	24876	054.9342	150.8180	0023658	251.2176	108.5457	02.00530198	724
1	24876U	97035A	97239.07519362	-.00000059	00000-0	00000+0	0	9998
2	24876	054.9347	150.7789	0023230	250.5680	109.1802	02.00529984	745
1	24876U	97035A	97240.07253904	-.00000062	+00000-0	+00000-0	0	9992
2	24876	054.9349	150.7388	0023292	250.6767	109.0913	02.00530059	000766
1	24876U	97035A	97241.06985937	-.00000058	+00000-0	+00000-0	0	9995
2	24876	054.9350	150.6988	0023356	250.8756	108.8950	02.00530145	000780
1	24876U	97035A	97242.06718420	-.00000050	+00000-0	+00000-0	0	9999
2	24876	054.9353	150.6588	0023438	250.7959	108.9787	02.00530175	000809
1	24876U	97035A	97243.06451016	-.00000039	+00000-0	+00000-0	0	9992
2	24876	054.9354	150.6189	0023439	250.8982	108.8796	02.00530196	000829
1	24876U	97035A	97244.06183809	-.00000026	+00000-0	+00000-0	0	9991
2	24876	054.9354	150.5791	0023421	251.2534	108.5308	02.00530256	000841
1	24876U	97035A	97245.05915859	-.00000014	00000-0	00000+0	0	9995
2	24876	054.9358	150.5392	0023659	250.9507	108.8387	02.00530326	861
1	24876U	97035A	97246.05648557	-.00000005	+00000-0	+00000-0	0	9995
2	24876	054.9359	150.4995	0023687	251.1256	108.6702	02.00530376	000881
1	24876U	97035A	97247.05380745	+.00000001	+00000-0	+00000-0	0	9993
2	24876	054.9359	150.4598	0023711	251.5403	108.2603	02.00530455	000903
1	24876U	97035A	97248.05112551	+.00000003	+00000-0	+00000-0	0	9994
2	24876	054.9365	150.4197	0023937	251.2989	108.5067	02.00530522	000925
1	24876U	97035A	97249.04843513	+.00000003	+00000-0	+00000-0	0	9993
2	24876	054.9368	150.3797	0023970	251.4940	108.3069	02.00530570	000944
1	24876U	97035A	97250.04575761	+.00000001	+00000-0	+00000-0	0	9990
2	24876	054.9364	150.3403	0024172	251.1588	108.6477	02.00530593	000967
1	24876U	97035A	97251.04305638	-.00000003	+00000-0	+00000-0	0	9998
2	24876	054.9363	150.3012	0024370	251.3457	108.4569	02.00530714	000986
1	24876U	97035A	97252.04036523	-.00000006	+00000-0	+00000-0	0	9996
2	24876	054.9360	150.2618	0024427	251.8912	107.9092	02.00530789	001009
1	24876U	97035A	97254.03499100	-.00000010	00000-0	00000+0	0	9995
2	24876	054.9362	150.1827	0024634	251.9314	107.8692	02.00530865	1043
1	24876U	97035A	97255.03228065	-.00000009	00000-0	00000+0	0	9994
2	24876	054.9364	150.1432	0024933	251.9275	107.8655	02.00530963	1065
1	24876U	97035A	97256.02959135	-.00000005	+00000-0	+00000-0	0	9990
2	24876	054.9369	150.1035	0024942	252.1526	107.6365	02.00530985	001083
1	24876U	97035A	97257.02691220	+.00000001	+00000-0	+00000-0	0	9994
2	24876	054.9372	150.0639	0024970	252.4144	107.3794	02.00531016	001108
1	24876U	97035A	97259.52022115	.00000016	00000-0	00000+0	0	9997
2	24876	054.9357	149.9619	0021995	247.1321	112.6382	02.00531354	1150
1	24876U	97035A	97260.51764476	.00000016	00000-0	00000+0	0	9991
2	24876	054.9379	149.9217	0022750	248.4243	111.4309	02.00531344	1172
1	24876U	97035A	97261.01627974	+.00000014	+00000-0	+00000-0	0	9997
2	24876	054.9380	149.9018	0022752	248.4335	111.4048	02.00531344	001188
1	24876U	97035A	97261.51494843	-.00000047	00000-0	10000-3	0	9990
2	24876	054.9585	149.9072	0021658	250.3857	109.4139	02.00531413	1309
1	24876U	97035A	97263.01089600	-.00000004	+00000-0	+00000-0	0	9997
2	24876	054.9373	149.8229	0023164	249.1637	110.6740	02.00531431	001226
1	24876U	97035A	97263.01091208	-.00000004	00000-0	00000+0	0	9993
2	24876	054.9381	149.8222	0023163	249.3547	110.4882	02.00531353	1227
1	24876U	97035A	97265.00551172	-.00000029	00000-0	00000+0	0	9992
2	24876	054.9370	149.7438	0023484	248.8501	110.9879	02.00531522	1266
1	24876U	97035A	97267.99743354	-.00000038	00000-0	00000+0	0	9997
2	24876	054.9372	149.6242	0017806	237.0808	122.6909	02.00531872	1320
1	24876U	97035A	97268.49626808	-.00000035	+00000-0	+00000-0	0	9995
2	24876	054.9374	149.6045	0023440	248.7050	111.2496	02.00531627	001336
1	24876U	97035A	97269.99206365	-.00000018	00000-0	00000+0	0	9993
2	24876	054.9387	149.5442	0018994	238.1491	121.6460	02.00531962	1361
1	24876U	97035A	97270.49085815	-.00000012	00000-0	00000+0	0	9999
2	24876	054.9371	149.5266	0021234	237.2915	122.6252	02.00532027	1374
1	24876U	97035A	97270.98946016	-.00000005	+00000-0	+00000-0	0	9995
2	24876	054.9372	149.5067	0021235	237.3020	122.5750	02.00532027	001386
1	24876U	97035A	97271.48812080	+.00000002	+00000-0	+00000-0	0	9990
2	24876	054.9372	149.4868	0021236	237.3126	122.5673	02.00532027	001397
1	24876U	97035A	97272.98410233	+.00000019	+00000-0	+00000-0	0	9998
2	24876	054.9408	149.4265	0020993	235.2801	124.6195	02.00532247	001424
1	24876U	97035A	97273.98141466	+.00000027	+00000-0	+00000-0	0	9997
2	24876	054.9409	149.3867	0020961	235.2859	124.6162	02.00532279	001441
1	24876U	97035A	97275.97594111	+.00000034	+00000-0	+00000-0	0	9995
2	24876	054.9319	149.3084	0023075	242.3548	117.5151	02.00532469	001489
1	24876U	97035A	97276.97324912	+.00000033	+00000-0	+00000-0	0	9995
2	24876	054.9319	149.2689	0022960	242.5407	117.3318	02.00532563	001508
1	24876U	97035A	97277.97055152	.00000031	00000-0	00000+0	0	9990
2	24876	054.9318	149.2293	0022870	242.7034	117.1674	02.00532623	1528
1	24876U	97035A	97278.96785259	.00000029	00000-0	00000+0	0	9995
2	24876	054.9300	149.1889	0023136	241.5954	118.2762	02.00532758	1544
1	24876U	97035A	97278.96785263	+.00000029	+00000-0	+00000-0	0	9991
2	24876	054.9319	149.1895	0022873	242.7232	117.1407	02.00532623	001545
1	24876U	97035A	97279.96514672	+.00000027	+00000-0	+00000-0	0	9994
2	24876	054.9349	149.1498	0022650	237.9505	121.9033	02.00532836	001565
1	24876U	97035A	97280.96247895	+.00000026	+00000-0	+00000-0	0	9995
2	24876	054.9348	149.1102	0022652	237.9401	121.9321	02.00532862	001584
1	24876U	97035A	97281.95978524	+.00000028	+00000-0	+00000-0	0	9997
2	24876	054.9354	149.0702	0022603	238.0398	121.8287	02.00532849	001607
1	24876U	97035A	97282.95709428	+.00000032	+00000-0	+00000-0	0	9998
2	24876	054.9356	149.0304	0022606	238.0608	121.8074	02.00532849	001620
1	24876U	97035A	97285.94903396	.00000053	00000-0	00000+0	0	9992
2	24876	054.9325	148.9071	0019639	256.1318	103.7929	02.00534244	1681
1	24876U	97035A	97286.94616081	+.00000058	+00000-0	+00000-0	0	9991
2	24876	054.9329	148.8673	0018780	255.8692	103.9189	02.00534244	001702
1	24876U	97035A	97286.94627629	+.00000058	+00000-0	+00000-0	0	9991
2	24876	054.9313	148.8666	0023061	259.1873	100.7363	02.00534245	001703
1	24876U	97035A	97287.94368787	.00000058	00000-0	00000+0	0	9998
2	24876	054.9435	148.8317	0013507	226.9406	132.9073	02.00533934	1720
1	24876U	97035A	97288.94118561	+.00000053	+00000-0	+00000-0	0	9998
2	24876	054.9433	148.7919	0013406	227.9868	132.0056	02.00533996	001748
1	24876U	97035A	97289.93846660	.00000044	00000-0	00000+0	0	9995
2	24876	054.9422	148.7519	0013224	230.2132	129.7683	02.00534040	1763
1	24876U	97035A	97289.93848259	+.00000044	+00000-0	+00000-0	0	9992
2	24876	054.9422	148.7519	0013224	230.2132	129.7798	02.00534040	001760
1	24876U	97035A	97290.93575276	.00000031	00000-0	00000+0	0	9995
