# TLE statistics.
# 
# The data that is stored is related to statistics of perturbations for satellites
# without thrust and at altitudes where perturbations do not play a major role. 
# Order: satID, mean, std, max, min (for each interesting Keplerian element, 
# i.e. 4 times).
#
08021G	-1.880810e+01	+4.332330e+01	+6.200490e+01	-1.315852e+03
08021G	-3.551900e-08	+7.832040e-06	+6.870000e-05	-1.274000e-04
08021G	-1.755520e-06	+5.878990e-06	+4.537860e-05	-6.981317e-05
08021G	+1.305200e-02	+1.372100e-02	+3.673730e-01	+9.616764e-04
76039A	-1.108300e-03	+7.958900e+00	+3.322805e+02	-3.330997e+02
76039A	-6.144900e-09	+9.330800e-06	+2.057000e-04	-3.955000e-04
76039A	+8.510000e-08	+2.381600e-05	+6.283185e-04	-5.288348e-04
76039A	+3.849800e-03	+4.330900e-03	+2.153806e-01	-2.548181e-04
13015C	-7.806700e+00	+2.529280e+01	+1.900810e+01	-8.189370e+02
13015C	+1.011200e-06	+2.342620e-05	+4.865000e-04	-4.841000e-04
13015C	-5.515400e-09	+1.386410e-05	+1.902410e-04	-1.623156e-04
13015C	-2.565200e-02	+5.417710e-02	+2.443460e-05	-1.288744e+00
02012B	-1.418400e+01	+1.121650e+01	+6.752000e+00	-1.018240e+02
02012B	-5.158940e-07	+1.477710e-05	+1.063000e-04	-8.220000e-05
02012B	+5.833640e-08	+7.955400e-06	+5.061500e-05	-6.283185e-05
02012B	-1.540540e-03	+6.491580e-04	-1.309000e-04	-3.616322e-03
